WM;NUMMER;MWST;RES_ZEIT;WARENGR;INTERNET;SAISON_KZ;BANAME1;BANAME2;BANAME3;DKZ1;DKZ2;DKZ3;SYS_ANLAGE;DKZ4;PREIS_GRP;BIS_MENGE;VKVALIDD1;VKPREIS1;VKVALIDD2;VKPREIS2;STKPREIS;GP_MENGE;GP_EINHEIT;PACK_MENGE;RABATT;VKPREIS3;VKVALIDD3;VKBISDT1;VKBISDT2;VKBISDT3;STAFRABATT;FAKTOR;ISZUSATZ00;ISZUSATZ01;ISZUSATZ02;ISZUSATZ03;ISZUSATZ04;ISZUSATZ05;ISZUSATZ06;ISZUSATZ07;ISZUSATZ08;ISZUSATZ09;ISZUSATZ10;ISZUSATZ11;ISZUSATZ12;ISZUSATZ13;ISZUSATZ14;ISZUSATZ15;ISZUSATZ16;ISZUSATZ17;ISZUSATZ18;ISZUSATZ19;ISZUSATZ20;ISZUSATZ21;ISZUSATZ22;ISZUSATZ23;ISZUSATZ24;ISZUSATZ25;ISZUSATZ26;ISZUSATZ27;ISZUSATZ28;ISZUSATZ29;ISZUSATZ30;ISZUSATZ31;ISZUSATZ32;ISZUSATZ33;ISZUSATZ34;ISZUSATZ35;ISZUSATZ36;ISZUSATZ37;ISZUSATZ38;ISZUSATZ39;ISZUSATZ40;ISZUSATZ41;ISZUSATZ42;ISZUSATZ43;ISZUSATZ44;ISZUSATZ45;ISZUSATZ46;ISZUSATZ47;ISZUSATZ48;ISZUSATZ49;ISZUSATZ50;KAT_1;KAT_2;KAT_3;KAT_4;KAT_5;BF_BLAU;BF_LILA;BF_ROSA;BF_WEISS;BF_GELB;BF_ORANGE;BF_ROT;BF_MEHRF;BF_GRUEN;BF_PINK;BF_SCHWARZ;FF_BLAU;FF_ORANGE;FF_WEISS;FF_GELB;FF_ROT;FF_GRUEN;FF_SCHWARZ;ISZUSATZ51;ISZUSATZ52;ISZUSATZ53;ISZUSATZ54;ISZUSATZ55;ISZUSATZ56;LAUB_IG;LAUB_LA;LAUB_WG;BESTELLT;GELIEFERT;OFFEN;LIETERMIN;GEWICHT;VERF_BEST;MARKE
SY;1;1F;0;;Falsch;EX;Versandkostenfrei;;;1;0;0;02.02.1999;0;;9999999;01.01.2008;0;;0;Falsch;0;0;0;Falsch;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Garten Schl?ter;;;;;;;;;;;Falsch;Falsch;Falsch;Falsch;Falsch;Falsch;Falsch;Falsch;Falsch;Falsch;Falsch;Falsch;Falsch;Falsch;Falsch;Falsch;Falsch;Falsch;;;;;;;Falsch;Falsch;Falsch;;;;;0;0;
SY;VK;1F;0;;Falsch;;Versandkosten;;;1;0;0;02.02.1999;0;;9999999;01.01.2008;6,95;;0;Falsch;0;0;0;Wahr;0;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;GS
SY;NN;1A;0;;Falsch;;Nachnahmezuschlag;;;1;0;0;27.10.2005;0;;9999999;01.01.2008;0;;0;Falsch;0;0;0;Falsch;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;GS
SY;PUV;1F;0;;Falsch;;Porto und Verpackung;;;1;0;0;01.07.2008;0;;9999999;01.01.2008;0;;0;Falsch;0;0;0;Falsch;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;GS
SY;TZ;1F;0;;Falsch;;Teilzahlungszuschlag;;;1;0;0;01.07.2008;0;;9999999;01.01.2008;0;;0;Falsch;0;0;0;Falsch;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;GS
SY;ABOD;1F;0;;Falsch;;Folgelieferung ca.:;;;1;0;0;01.07.2008;0;;9999999;01.01.2008;0;;0;Falsch;0;0;0;Falsch;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;GS
SY;GE;1F;0;100;Falsch;;G-Einl?sung;Gutscheineinl?sung;;1;1;0;09.09.2008;0;;9999999;01.01.2008;0;;0;Falsch;0;0;0;Wahr;0;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;-1;GS
SY;GV;1F;0;;Falsch;;Gutschein;;;1;0;0;09.09.2008;0;;9999999;08.06.2008;0;;0;Falsch;0;0;0;Falsch;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;GS
;51241;1B;7;015;Wahr;EX;Beetrose 'Nina Weibull?';;;1;0;0;01.11.2012;0;;4;01.10.2012;3,95;12.09.2014;3,33;Falsch;100;1;0;Wahr;0;;;28.09.2014;;0;1;Rosa 'Nina Weibull?';mind. 3 starke Triebe;wurzelnackte Pflanze;Oktober;;;reichbl?hend und winterhart;September/Oktober-Mitte Mai (blattlose Zeit);w?ssern, obere Triebe auf 15cm runterschneiden, tief einpflanzen;;;;tief genug, Veredelung muss 3 cm unter der Erdoberfl?che liegen;;;dunkelgr?n, dicht;;Juni;dunkelrot, mittelgro?, gef?llt;;humoser Gartenboden;;;;;;sonnig;;ca. 30-40 cm;mehrj?hrig, winterhart;Rosend?nger, 6 Wochen nach Pflanzung;;Beete, Gruppen- oder Einzelstellung;;kompakt, buschig, niedrig;50 cm;40 cm;;;;;;;;;Garten Schl?ter;55241;15.10.2018;;;;Rosen/Beetrosen;;;;;Falsch;Falsch;Falsch;Falsch;Falsch;Falsch;Wahr;Falsch;Falsch;Falsch;Falsch;Falsch;Falsch;Falsch;Falsch;Falsch;Falsch;Falsch;April;September;;halbschattig;60 cm;50 cm;Falsch;Wahr;Falsch;15;0;15;15.10.2018;160;0;GS
;51241;1B;7;015;Wahr;EX;Beetrose 'Nina Weibull?';;;1;0;0;01.11.2012;0;;4;01.10.2012;3,95;12.09.2014;3,33;Falsch;100;1;0;Wahr;0;;;28.09.2014;;0;1;Rosa 'Nina Weibull?';mind. 3 starke Triebe;wurzelnackte Pflanze;Oktober;;;reichbl?hend und winterhart;September/Oktober-Mitte Mai (blattlose Zeit);w?ssern, obere Triebe auf 15cm runterschneiden, tief einpflanzen;;;;tief genug, Veredelung muss 3 cm unter der Erdoberfl?che liegen;;;dunkelgr?n, dicht;;Juni;dunkelrot, mittelgro?, gef?llt;;humoser Gartenboden;;;;;;sonnig;;ca. 30-40 cm;mehrj?hrig, winterhart;Rosend?nger, 6 Wochen nach Pflanzung;;Beete, Gruppen- oder Einzelstellung;;kompakt, buschig, niedrig;50 cm;40 cm;;;;;;;;;Garten Schl?ter;55241;15.10.2018;;;;Rosen/Beetrosen;;;;;Falsch;Falsch;Falsch;Falsch;Falsch;Falsch;Wahr;Falsch;Falsch;Falsch;Falsch;Falsch;Falsch;Falsch;Falsch;Falsch;Falsch;Falsch;April;September;;halbschattig;60 cm;50 cm;Falsch;Wahr;Falsch;20;0;20;19.10.2018;160;0;GS
